location;time_of_measurement;counted_pedestrians;type;incidents
Königstraße (Süd), Stuttgart;2020-01-06 22:48:42 +0100;13;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 22:54:09 +0100;4;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 22:59:55 +0100;13;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 23:04:42 +0100;16;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 23:08:32 +0100;10;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 23:14:59 +0100;6;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 23:19:37 +0100;18;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 23:23:40 +0100;17;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 23:29:53 +0100;15;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 23:34:19 +0100;7;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 23:39:19 +0100;8;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 23:43:50 +0100;13;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 23:48:51 +0100;4;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 23:53:34 +0100;5;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 23:59:55 +0100;10;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 00:04:45 +0100;5;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 00:08:16 +0100;6;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 00:13:58 +0100;9;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 00:19:37 +0100;3;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 00:24:54 +0100;9;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 00:27:29 +0100;9;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 00:34:47 +0100;3;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 00:38:46 +0100;1;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 00:41:48 +0100;9;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 00:45:06 +0100;1;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 00:54:57 +0100;3;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 00:58:19 +0100;2;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 01:00:20 +0100;1;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 01:08:33 +0100;4;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 01:14:22 +0100;9;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 01:17:11 +0100;3;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 01:24:42 +0100;2;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 01:25:29 +0100;2;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 01:33:56 +0100;1;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 01:39:53 +0100;4;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 01:42:59 +0100;3;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 01:47:12 +0100;2;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 01:54:29 +0100;2;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 02:26:31 +0100;2;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 02:35:22 +0100;1;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 02:44:24 +0100;2;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 02:47:37 +0100;2;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 02:51:19 +0100;3;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 03:00:07 +0100;2;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 03:09:53 +0100;4;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 03:29:18 +0100;3;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 03:32:50 +0100;1;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 03:38:02 +0100;1;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 03:44:08 +0100;1;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 03:48:29 +0100;1;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 03:51:18 +0100;1;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 03:59:05 +0100;1;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 04:01:32 +0100;3;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 04:19:47 +0100;5;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 04:23:11 +0100;1;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 04:23:17 +0100;9;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 04:26:04 +0100;1;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 04:43:15 +0100;1;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 04:54:23 +0100;3;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 05:00:28 +0100;2;regular;""
Königstraße (Süd), Stuttgart;2020-01-07 05:09:14 +0100;2;regular;""
